"p0","b","c1","c2"
0.485,2.45260915147315,3.30471664473715,0.289020591507045
0.49,2.49471446211531,3.30723150596982,0.288509260514654
0.495,2.53751456471349,3.3096182561179,0.288005104169592
0.5,2.58110887205616,3.3117215127881,0.287522715544776
0.505,2.62543888113851,3.31368395122179,0.287048352902159
0.51,2.67050371831723,3.31553312611268,0.286579171661137
0.515,2.71639627652535,3.31716699585262,0.286124862549483
0.52,2.76314129787496,3.31861172174145,0.285682991757017
0.525,2.81068422776973,3.31987899093131,0.285251560755283
0.53,2.85909935544362,3.32100813926883,0.284827398322526
0.535,2.90843124193692,3.32185420647357,0.284423592088751
0.54,2.95870083685947,3.32255911363182,0.284027151410475
0.545,3.00987635998286,3.32311196696962,0.283638395691753
0.55,3.0620208137637,3.32348536764396,0.283259959976057
0.555,3.11516445261944,3.32367744719935,0.282891877524636
0.56,3.16933435332922,3.32369076228114,0.282533752794306
0.565,3.22429862400965,3.323810402273,0.28215827664146
0.57,3.28060298265131,3.32347306782014,0.281818958200954
0.575,3.33831076450818,3.32265845264485,0.281517571825592
0.58,3.39690166773093,3.32195740217154,0.281197691432297
0.585,3.45664372389084,3.32113210145774,0.280881825890389
0.59,3.51764817153747,3.32008354087987,0.280579234153534
0.595,3.57991938155302,3.31884768925855,0.280286270750239
0.6,3.6434882542123,3.31745493569129,0.279999994412986
0.605,3.7084313591551,3.315851686511,0.279725303511102
0.61,3.77473105696213,3.31410826237884,0.279455255335804
0.615,3.84252399924724,3.31214118136626,0.279197835556964
0.62,3.91180655139629,3.30997951887861,0.278949872971189
0.625,3.98260341547844,3.30769005916944,0.278705058230186
0.63,4.05502960137914,3.30517520474735,0.278472371033622
0.635,4.12904880790026,3.30249704864573,0.278245401810456
0.64,4.20565545602274,3.29931117858016,0.278060083323206
0.645,4.28240316600437,3.29651099530923,0.277822506589014
0.65,4.36178867598351,3.2932490782652,0.277621605990553
0.655,4.44315229150225,3.28966783483836,0.277440652598946
0.66,4.52642325963112,3.28605402225994,0.277252608114754
0.665,4.61174175781536,3.28224160898069,0.277072610912963
0.67,4.69919758859622,3.27823174501757,0.276900444871227
